"filename", "language", "Properties", "JavaScript", "HTML", "Markdown", "JSON", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\TBG\Documents\wappy\admin\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\TBG\Documents\wappy\admin\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"c:\Users\TBG\Documents\wappy\admin\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\TBG\Documents\wappy\admin\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\TBG\Documents\wappy\admin\package-lock.json", "JSON", 0, 0, 0, 0, 4756, 0, 0, 0, 1, 4757
"c:\Users\TBG\Documents\wappy\admin\package.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\TBG\Documents\wappy\admin\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 21, 5, 64
"c:\Users\TBG\Documents\wappy\admin\src\components\AuthContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 19, 4, 47
"c:\Users\TBG\Documents\wappy\admin\src\components\AuthField.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 20, 3, 47
"c:\Users\TBG\Documents\wappy\admin\src\components\ListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 24, 7, 109
"c:\Users\TBG\Documents\wappy\admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 27, 0, 7, 34
"c:\Users\TBG\Documents\wappy\admin\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 17, 3, 31
"c:\Users\TBG\Documents\wappy\admin\src\pages\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 15, 4, 51
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthHooks.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 23, 9, 59
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 86, 0, 28, 6, 120
"c:\Users\TBG\Documents\wappy\admin\src\pages\auth\AuthSlice.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 24, 5, 54
"c:\Users\TBG\Documents\wappy\admin\src\pages\dashboard\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 189, 0, 32, 19, 240
"c:\Users\TBG\Documents\wappy\admin\src\pages\dashboard\DashboardSlice.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 21, 5, 51
"c:\Users\TBG\Documents\wappy\admin\src\util\axiosConfig.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 26, 19, 121
"c:\Users\TBG\Documents\wappy\admin\src\util\globalSlice.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 18, 4, 38
"c:\Users\TBG\Documents\wappy\admin\src\util\persist.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 22, 5, 63
"c:\Users\TBG\Documents\wappy\admin\src\util\routerHooks.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 21, 5, 42
"c:\Users\TBG\Documents\wappy\admin\src\util\theme.js", "JavaScript", 0, 242, 0, 0, 0, 0, 0, 35, 2, 279
"c:\Users\TBG\Documents\wappy\admin\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 2, 17
"Total", "-", 2, 504, 13, 9, 4797, 482, 27, 368, 127, 6329